lm_feature_code,description,lm_system,lm_vendor
67100MAYAUL_F,Autodesk Maya Unlimited Package,flexlm,adskflex
67200TOXIK_F,Autodesk Toxik Package,flexlm,adskflex
67300TOPOBSWEB_F,Autodesk Topobase Web Package,flexlm,adskflex
67400NAVREV_F,Autodesk NavisWorks Review Package,flexlm,adskflex
67500NAVSIM_F,Autodesk NavisWorks Simulate Package,flexlm,adskflex
67600NAVMAN_F,Autodesk Navisworks Manage Package,flexlm,adskflex
67600NAVMAN_T_F,Autodesk Navisworks Manage,flexlm,adskflex
67700PNID_F,AutoCAD P&ID Package,flexlm,adskflex
67700PNID_T_F,Autodesk AutoCAD P&ID,flexlm,adskflex
67800RVTMPJ_2009_0F,Autodesk Revit MEP 2009,flexlm,adskflex
68300T1MF_2_0F,Package: T1 Enterprise Multi-Flex 2,flexlm,adskflex
68600AQTO_2010_0F,Autodesk Quantity Takeoff 2010,flexlm,adskflex
68800CIVIL_2009_0F,AutoCAD Civil 2009,flexlm,adskflex
68900NAVREV_2009_1F,Autodesk NavisWorks Review 2009.1,flexlm,adskflex
68900NAVREV_2009_1P,Autodesk NavisWorks Review 2009.1 Pre-Release,flexlm,adskflex
69000NAVSIM_2009_1F,Autodesk NavisWorks Simulate 2009.1,flexlm,adskflex
69000NAVSIM_2009_1P,Autodesk NavisWorks Simulate 2009.1 Pre-Release,flexlm,adskflex
69100NAVMAN_2009_1F,Autodesk NavisWorks Manage 2009.1,flexlm,adskflex
69100NAVMAN_2009_1P,Autodesk NavisWorks Manage 2009.1 Pre-Release,flexlm,adskflex
69200CIVIL_F,AutoCAD Civil Package,flexlm,adskflex
69300RSA_2009_0F,Autodesk Robot Structural Analysis 2009,flexlm,adskflex
69400RSAPRO_2009_0F,Autodesk Robot Structural Analysis Professional 2009,flexlm,adskflex
69500RSA_F,Autodesk Robot Structural Analysis Package,flexlm,adskflex
69600RSAPRO_F,Autodesk Robot Structural Analysis Professional Package,flexlm,adskflex
69600RSAPRO_T_F,Autodesk Robot Structural Analysis Professional,flexlm,adskflex
69800MB_F,Autodesk MotionBuilder Package,flexlm,adskflex
699003DSMAX_2010_0F,Autodesk 3ds Max 2010,flexlm,adskflex
699003DSMAX_2010_0F,Autodesk® 3ds Max® 2010,flexlm,adskflex
70000MAXDES_2010_0F,Autodesk 3ds Max Design 2010,flexlm,adskflex
70100MAXDES_F,Autodesk 3ds Max Design Package,flexlm,adskflex
70200MBXPRO_2009_0F,Autodesk Mudbox 2009,flexlm,adskflex
70300MBXPRO_F,Autodesk Mudbox Package,flexlm,adskflex
70400INVBUN_2010_0F,AutoCAD Inventor Suite 2010,flexlm,adskflex
70500INVPRO_2010_0F,AutoCAD Inventor Professional Suite 2010,flexlm,adskflex
70600INVPRORS_2010_0F,AutoCAD Inventor Routed Systems Suite 2010,flexlm,adskflex
70700INVPROSIM_2010_0F,AutoCAD Inventor Simulation Suite 2010,flexlm,adskflex
70800VLTM_2010_0F,Autodesk Vault Manufacturing 2010,flexlm,adskflex
71200ACD_2010_0F,AutoCAD 2010,flexlm,adskflex
71400NAVMAN_2010_0F,Autodesk Navisworks Manage 2010,flexlm,adskflex
71500NAVSIM_2010_0F,Autodesk Navisworks Simulate 2010,flexlm,adskflex
71600NAVREV_2010_0F,Autodesk Navisworks Review 2010,flexlm,adskflex
71700ACAD_E_2010_0F,AutoCAD Electrical 2010,flexlm,adskflex
71800AMECH_PP_2010_0F,AutoCAD Mechanical 2010,flexlm,adskflex
71900PCEASY_2010_0F,Autodesk Productstream Professional Easy 2011,flexlm,adskflex
72000PCOFFI_2010_0F,Autodesk Productstream Professional 2010 Office,flexlm,adskflex
72100PCPRO_2010_0F,Autodesk Productstream Professional 2011,flexlm,adskflex
72200ARCHDESK_2010_0F,AutoCAD Architecture 2010,flexlm,adskflex
72300PLNT3D_2010_0F,AutoCAD Plant 3D 2010,flexlm,adskflex
72400VLTM_F,Vault Professional Package,flexlm,adskflex
72400VLTM_T_F,Autodesk Vault Professional,flexlm,adskflex
72500MAP_2010_0F,AutoCAD Map 3D 2010,flexlm,adskflex
72600ARDES_2010_0F,AutoCAD Raster Design 2010,flexlm,adskflex
72700MAPGE_2010_0F,Autodesk MapGuide Enterprise 2010,flexlm,adskflex
72800TOPOBSCLNT_2010_0F,Autodesk Topobase Client 2010,flexlm,adskflex
72900TOPOBSWEB_2010_0F,Autodesk Topobase Web 2010,flexlm,adskflex
73000BLDSYS_2010_0F,AutoCAD MEP 2010,flexlm,adskflex
73100REVSYP_2010_0F,AutoCAD Revit MEP Suite 2010,flexlm,adskflex
73200INVMFG_2010_0F,AutoCAD Inventor Tooling Suite 2010,flexlm,adskflex
73400PNID_2010_0F,Autodesk Plant P&ID 2010,flexlm,adskflex
73500UTLDESN_2010_0F,Autodesk Utility Design 2010,flexlm,adskflex
73700CIV3D_2010_0F,AutoCAD Civil 3D 2010,flexlm,adskflex
73800RVTMPJ_2010_0F,Autodesk Revit MEP 2010,flexlm,adskflex
73900REVITST_2010_0F,Autodesk Revit Structure 2010,flexlm,adskflex
74000REVSU_2010_0F,AutoCAD Revit Structure Suite 2010,flexlm,adskflex
74100REVIT_2010_0F,Autodesk Revit Architecture 2010,flexlm,adskflex
74200REVITS_2010_0F,AutoCAD Revit Architecture Suite 2010,flexlm,adskflex
74300CIVIL_2010_0F,AutoCAD Civil 2010,flexlm,adskflex
74400INVAS_2010_0F,Autodesk Inventor Automation Professional 2010,flexlm,adskflex
74500VLTC_2010_0F,Autodesk Vault Collaboration 2010,flexlm,adskflex
74600VLTC_F,Autodesk 360 Vault Collaboration Package,flexlm,adskflex
74700VLTWG_2010_0F,Autodesk Vault Workgroup 2010,flexlm,adskflex
74800VLTWG_F,Autodesk 360 Vault Workgroup Package,flexlm,adskflex
74800VLTWG_T_F,Autodesk Vault Workgroup,flexlm,adskflex
74900RVTMPJ_F,Autodesk Revit MEP Package,flexlm,adskflex
75100TOXIK_2010_0F,Autodesk Toxik 2010,flexlm,adskflex
75200RSA_2010_0F,Autodesk Robot Structural Analysis 2010,flexlm,adskflex
75300RSAPRO_2010_0F,Autodesk Robot Structural Analysis Professional 2010,flexlm,adskflex
75400ECOTECT_2009_0F,Autodesk Ecotect 2009,flexlm,adskflex
75500ECSCAD_F,AutoCAD ecscad Package,flexlm,adskflex
75600RSTR_2010_0F,AutoCAD Raster 2010,flexlm,adskflex
75700MFDLC_2010_0F,Autodesk Moldflow Design Link for CATIA V5 2010,flexlm,adskflex
75800MFDLC_F,Autodesk Moldflow Design Link for CATIA Package,flexlm,adskflex
75900MFDLPE_2010_0F,Autodesk Moldflow Design Link for Pro/ENGINEER 2010,flexlm,adskflex
76000MFDLPE_F,Autodesk Moldflow Design Link for Pro/ENGINEER Package,flexlm,adskflex
76100MFDLP_2010_0F,Autodesk Moldflow Design Link for Parasolid 2010,flexlm,adskflex
76200MFDLP_F,Autodesk Moldflow Design Link for Parasolid Package,flexlm,adskflex
76300MFAD_2010_0F,Autodesk Moldflow Adviser Design 2010,flexlm,adskflex
76400MFAD_F,Autodesk Simulation Moldflow Adviser Standard Package,flexlm,adskflex
76400MFAD_T_F,Autodesk Moldflow Adviser Standard,flexlm,adskflex
76500MFAM_2010_0F,Autodesk Moldflow Adviser Manufacturing 2010,flexlm,adskflex
76600MFAM_F,Autodesk Simulation Moldflow Adviser Premium Package,flexlm,adskflex
76600MFAM_T_F,Autodesk Moldflow Adviser Premium,flexlm,adskflex
76700MFAA_2010_0F,Autodesk Moldflow Adviser Advanced 2010,flexlm,adskflex
76800MFAA_F,Autodesk Simulation Moldflow Adviser Ultimate Package,flexlm,adskflex
76800MFAA_T_F,Autodesk Moldflow Adviser Ultimate,flexlm,adskflex
76900MFIB_2010_0F,Autodesk Moldflow Insight Basic 2010,flexlm,adskflex
77000MFIB_F,Autodesk Moldflow Insight Basic Package,flexlm,adskflex
77100MFIP_2010_0F,Autodesk Moldflow Insight Performance 2010,flexlm,adskflex
77200MFIP_F,Autodesk Moldflow Insight Performance Package,flexlm,adskflex
77300MFIA_2010_0F,Autodesk Moldflow Insight Advanced 2010,flexlm,adskflex
77400MFIA_F,Autodesk Simulation Moldflow Insight Ultimate Package,flexlm,adskflex
77400MFIA_T_F,Autodesk Moldflow Insight Ultimate,flexlm,adskflex
77500MFCD_2010_0F,Autodesk Moldflow CAD Doctor 2010,flexlm,adskflex
77600MFCD_F,Autodesk Simulation Moldflow CAD Doctor Package,flexlm,adskflex
77600MFCD_T_F,CADdoctor for Autodesk Simulation,flexlm,adskflex
77700MFS_2010_0F,Autodesk Moldflow Synergy 2010,flexlm,adskflex
77800MFS_F,Autodesk Simulation Moldflow Synergy Package,flexlm,adskflex
77800MFS_T_F,Autodesk Moldflow Synergy,flexlm,adskflex
77900RSTR_F,AutoCAD Raster Package,flexlm,adskflex
78000ECOA_2010_0F,Autodesk Ecotect Analysis 2010,flexlm,adskflex
78100ECOA_F,Autodesk Ecotect Analysis Package,flexlm,adskflex
78200RAV-S_2009_0F,AutoCAD Revit Architecture Visualization Suite 2009,flexlm,adskflex
78300RAV-S_F,AutoCAD Revit Architecture Visualization Suite Package,flexlm,adskflex
78500ACDDS_F,AutoCAD Visualization Suite Package,flexlm,adskflex
78600SFTIM_7_5F,Autodesk Softimage 7.5,flexlm,adskflex
78700SFTIM_F,Autodesk Softimage Package,flexlm,adskflex
78800SFTIMASIB1_7_5F,Autodesk Softimage Advanced 7.5 SIBatch1,flexlm,adskflex
78800SFTIMASIB2_7_5F,Autodesk Softimage Advanced 7.5 SIBatch2,flexlm,adskflex
78800SFTIMASIB3_7_5F,Autodesk Softimage Advanced 7.5 SIBatch3,flexlm,adskflex
78800SFTIMASIB4_7_5F,Autodesk Softimage Advanced 7.5 SIBatch4,flexlm,adskflex
78800SFTIMASIB5_7_5F,Autodesk Softimage Advanced 7.5 SIBatch5,flexlm,adskflex
78800SFTIMA_7_5F,Autodesk Softimage Advanced 7.5,flexlm,adskflex
78900SFTIMA_F,Autodesk Softimage Advanced Package,flexlm,adskflex
79000SFTIMASIB1_F,Autodesk Softimage SIBatch1 Package,flexlm,adskflex
79100SFTIMASIB1_F,Autodesk Softimage SIBatch1 Package,flexlm,adskflex
79100SFTIMASIB2_F,Autodesk Softimage SIBatch2 Package,flexlm,adskflex
79200SFTIMASIB3_F,Autodesk Softimage SIBatch3 Package,flexlm,adskflex
79300SFTIMASIB4_F,Autodesk Softimage SIBatch4 Package,flexlm,adskflex
