FlexLM Feature Code,Description
85552MAPGE_2011_0F,Autodesk MapGuide Enterprise 2011
85554MOBPRO_2011_0F,Autodesk MotionBuilder 2011
85555ACDLT_2011_0F,AutoCAD LT 2011
85557MAP_2011_0F,AutoCAD Map 3D 2011
85559TOPOBSCLNT_2011_0F,Autodesk Topobase Client 2011
85560TOPOBSWEB_2011_0F,Autodesk Topobase Web 2011
85561ARCHDESK_2011_0F,AutoCAD Architecture 2011
85562BLDSYS_2011_0F,AutoCAD MEP 2011
85563SFTIM_2011_0F,Autodesk Softimage 2011
85563SFTIMSIB1_2011_0F,Autodesk Softimage 2011 SIBatch1
85563SFTIMSIB2_2011_0F,Autodesk Softimage 2011 SIBatch2
85563SFTIMSIB3_2011_0F,Autodesk Softimage 2011 SIBatch3
85563SFTIMSIB4_2011_0F,Autodesk Softimage 2011 SIBatch4
85563SFTIMSIB5_2011_0F,Autodesk Softimage 2011 SIBatch5
85567INVPRO_2011_0F,AutoCAD Inventor Professional Suite 2011
85569INVPRORS_2011_0F,AutoCAD Inventor Routed Systems Suite 2011
85571INVPROSIM_2011_0F,AutoCAD Inventor Simulation Suite 2011
85573INVBUN_2011_0F,AutoCAD Inventor Suite 2011
85575INVMFG_2011_0F,AutoCAD Inventor Tooling Suite 2011
85577INVNTOR_2010_0F,Autodesk Inventor 2010
85579INVNTOR_2011_0F,Autodesk Inventor 2011
85580MBXPRO_2011_0F,Autodesk Mudbox 2011
85581ECSCAD_2011_0F,AutoCAD ecscad 2011
85583LDXSP_2011_0F,Autodesk LandXplorer Studio Professional 2011
85585RSA_2011_0F,Autodesk Robot Structural Analysis 2011
85586RSAPRO_2011_0F,Autodesk Robot Structural Analysis Professional 2011
85587REVIT_2011_0F,Autodesk Revit Architecture 2011
85588VLTM_2011_0F,Autodesk Vault Professional 2011
85590ALGSIM_2011_0F,Autodesk Algor Simulation 2011
85591ASCFD_2011_0F,Autodesk Algor Simulation CFD 2011
85592ASMES_2011_0F,Autodesk Algor Simulation MES 2011
85593ASPRO_2011_0F,Autodesk Algor Simulation Professional 2011
85594REVSU_2011_0F,AutoCAD Revit Structure Suite 2011
85595STRDET_2011_0F,AutoCAD Structural Detailing 2011
85596VLTWG_2011_0F,Autodesk Vault Workgroup 2011
85598VLTC_2011_0F,Autodesk Vault Collaboration 2011
85600NAVMAN_2011_0F,Autodesk Navisworks Manage 2011
85601NAVSIM_2011_0F,Autodesk Navisworks Simulate 2011
85602PLNT3D_2011_0F,AutoCAD Plant 3D 2011
85603PNID_2011_0F,AutoCAD P&ID 2011
85604CIV3D_2011_0F,AutoCAD Civil 3D 2011
85606SHOWPRO_2011_0F,Autodesk Showcase Professional 2011
85607SHOWCASE_2011_0F,Autodesk Showcase 2011
85608SHCSPR_2011_0F,Autodesk Showcase Presenter 2011
85609DC_JT_2011_0F,Autodesk DirectConnect JT 2011
85611DC_UG_2011_0F,Autodesk DirectConnect NX 2011
85614RVTMPJ_2011_0F,Autodesk Revit MEP 2011
85615ALSK_2011_0F,Autodesk Alias Sketch 2011
85617MXECS_2011_0F,Autodesk 3ds Max Entertainment Creation Suite 2011
85618AAA_2011_0F,Autodesk Animation Academy 2011
85619ESEC_2011_0F,Autodesk Education Suite for Entertainment Creation 2011
85620MYECS_2011_0F,Autodesk Maya Entertainment Creation Suite 2011
85621SIECS_2011_0F,Autodesk Softimage Entertainment Creation Suite 2011
85623REVITS_2011_0F,AutoCAD Revit Architecture Suite 2011
85624REVSYP_2011_0F,AutoCAD Revit MEP Suite 2011
85625DES_ACA_2011_0F,Autodesk Design Academy 2011
85626EMS_2011_0F,Autodesk Education Master Suite 2011
85627ESAE_2011_0F,Autodesk Education Suite for Architecture and Engineering 2011
85628ESCSE_2011_0F,Autodesk Education Suite for Civil and Structural Engineering 2011
85629ESID_2011_0F,Autodesk Education Suite for Industrial Design 2011
85630ESME_2011_0F,Autodesk Education Suite for Mechanical Engineering 2011
85631INVFPR_2011_0F,Autodesk Inventor Factory Premium 2011
85632INVFAD_2011_0F,Autodesk Inventor Factory Advanced 2011
85633NWFPR_2011_0F,Autodesk Navisworks Factory Premium 2011
85634NWFAD_2011_0F,Autodesk Navisworks Factory Advanced 2011
85635FDSPRM_2011_0F,Autodesk Factory Design Suite Premium 2011
85636FDSADV_2011_0F,Autodesk Factory Design Suite Advanced 2011
85637MFAA_2011_0F,Autodesk Moldflow Adviser Advanced 2011
85638MFAD_2011_0F,Autodesk Moldflow Adviser Design 2011
85639MFAM_2011_0F,Autodesk Moldflow Adviser Manufacturing 2011
85640MFCD_2011_0F,Autodesk Moldflow CAD Doctor 2011
85641MFDLC_2011_0F,Autodesk Moldflow Design Link for CATIA V5 2011
85642MFDLP_2011_0F,Autodesk Moldflow Design Link for Parasolid 2011
85643MFDLPE_2011_0F,Autodesk Moldflow Design Link for Pro/ENGINEER 2011
85644MFIA_2011_0F,Autodesk Moldflow Insight Advanced 2011
85645MFIB_2011_0F,Autodesk Moldflow Insight Basic 2011
85646MFIP_2011_0F,Autodesk Moldflow Insight Performance 2011
85647MFS_2011_0F,Autodesk Moldflow Synergy 2011
85648INVRT_2011_0F,Autodesk Inventor Runtime 2011
85649INVLT_2011_0F,Autodesk Inventor LT 2011
85650INVLTS_2011_0F,AutoCAD Inventor LT Suite 2011
85651BDSADV_2011_0F,Autodesk Building Design Suite Advanced 2011
85652BDSPRM_2011_0F,Autodesk Building Design Suite Premium 2011
85653DSSTD_2011_0F,Autodesk Design Suite Standard 2011
85654DSADV_2011_0F,Autodesk Design Suite Advanced 2011
85655DSPRM_2011_0F,Autodesk Design Suite Premium 2011
85656RAVS_2011_0F,AutoCAD Revit Architecture Visualization Suite 2011
85657ACDDS_2011_0F,AutoCAD Visualization Suite 2011
85658PDSADV_2011_0F,Autodesk Plant Design Suite Advanced 2011
85659PDSPRM_2011_0F,Autodesk Plant Design Suite Premium 2011
85660PDSPRM_F,Autodesk Plant Design Suite Premium Package
85662ACDLTC_2011_0F,AutoCAD LT Civil Suite 2011
85663GMCADC_2011_0F,Autodesk GM CAD Convertors 2011
85667INVPUB_2011_0F,Autodesk Inventor Publisher 2011
85668INVAS_2011_0F,Autodesk Intent Professional 2011
85670INVAR_2011_0F,Autodesk Intent Runtime 2011
85671INTSER_2011_0F,Autodesk Intent Server 2011
85672ECOA_2011_0F,Autodesk Ecotect Analysis 2011
85674T1MF_2011_0F,T1 Enterprise Multi-flex 2011
85677ECSCAD_2012_0F,AutoCAD ecscad 2012
85677FDSADV_F,Autodesk Factory Design Suite Ultimate Package
85677FDSPRM_F,Autodesk Factory Design Suite Premium Package
85678ACAD_E_2012_0F,AutoCAD Electrical 2012
85683ARDES_2011_0F,AutoCAD Raster Design 2011
85685MXECSP_2011_0F,Autodesk 3ds Max Entertainment Creation Suite Premium 2011
85687MYECSP_2011_0F,Autodesk Maya Entertainment Creation Suite Premium 2011
85689DSSTD_F,Autodesk Design Suite Standard Package
85692PDSADV_F,Autodesk Plant Design Suite Ultimate Package
85693SMKMAC_2011_0F,Autodesk Smoke 2011 for Mac OS X
85693SMKMAC_2011_0P,Autodesk Smoke 2011 for Mac OS X
85694MAYA_2012_0F,Autodesk Maya 2012
85694MAYAMMR1_2012_0F,Autodesk Maya 2012 Mental Ray 1
85694MAYAMMR1_F,Autodesk Maya Mental Ray 1 Package
85696MBXPRO_2012_0F,Autodesk Mudbox 2012
856983DSMAX_2012_0F,Autodesk 3ds Max 2012
